# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.17931603   -0.00018610   -0.15146508    0.00000002    5.79681136   -0.33094884   -0.00028068   -0.15570866
   -0.18345331    0.00001182   -0.17224652    0.00000002    5.80937674   -0.33858466    0.00001783   -0.19620244
   -0.19534046   -0.04111158    0.11586803    0.00000004    5.96400701   -0.36052379   -0.06200518    0.42993285
   -0.19181325   -0.04099722    0.10897883    0.00000004    5.96371918   -0.35401391   -0.06183270    0.41192977
   -0.21644099    0.00002406    0.06793577    0.00000002    5.97301221   -0.39946731    0.00003629    0.34733806
   -0.21040150   -0.10670292    0.12934467    0.00000004    5.88694898   -0.38832073   -0.16093116    0.47277913
   -0.23121349    0.00046197    0.18366964    0.00000002    6.16006476   -0.42673169    0.00069675    0.60819802
   -0.18553111    0.11105179    0.07068300    0.00000002    5.73769648   -0.34241950    0.16749021    0.32430931
   -0.18003602    0.13539980    0.10923386    0.00000002    5.82942200   -0.33227765    0.20421230    0.40146535
   -0.25116257    0.22894192   -0.12645321    0.00000003    5.46135513   -0.46355007    0.34529412   -0.03515828
    0.28157824    0.17318170   -0.08487142    0.00000002    5.56302305    0.51968577    0.26119561   -0.44437701
   -0.26494761    0.22570372   -0.12240096    0.00000002    5.46696933   -0.48899198    0.34041021   -0.01362252
   -0.20078788    0.11357872    0.05766920    0.00000003    5.73075078   -0.37057764    0.17130137    0.31079072
   -0.20729992    0.11990040    0.05754653    0.00000000    5.72554869   -0.38259640    0.18083584    0.31661602
   -0.22619879    0.15026944    0.06565754    0.00000002    5.68558298   -0.41747647    0.22663894    0.35159596
   -0.17864382    0.12697635    0.10031569    0.00000002    5.81699902   -0.32970819    0.19150790    0.38112683
   -0.18392594    0.15824550    0.11805366    0.00000003    5.80244648   -0.33945697    0.23866857    0.42392866
   -0.22621676    0.20082606    0.12745316    0.00000002    5.60042858   -0.41750965    0.30288929    0.48352480
   -0.25229272    0.22861015   -0.12625469    0.00000002    5.46186174   -0.46563589    0.34479374   -0.03367810
   -0.23848192    0.23320667   -0.12805238    0.00000002    5.45475060   -0.44014643    0.35172629   -0.05042522
   -0.24426869    0.23114434   -0.12740696    0.00000003    5.45805593   -0.45082660    0.34861585   -0.04363829
   -0.23257324    0.23550367   -0.12877297    0.00000003    5.45055227   -0.42924127    0.35519067   -0.05748658
   -0.21044550    0.12388581    0.05812659    0.00000002    5.72014417   -0.38840192    0.18684670    0.32079458
   -0.21239712    0.12663881    0.05863873    0.00000002    5.71612207   -0.39200387    0.19099881    0.32371211
   -0.23252154    0.16293681    0.07328848    0.00000000    5.66902435   -0.42914586    0.24574408    0.37379558
   -0.24060709    0.18574763    0.11709528    0.00000002    5.62138121   -0.44406868    0.28014776    0.47486576
   -0.21205037    0.21374969    0.12821896    0.00000003    5.64603414   -0.39136390    0.32238094    0.47191742
   -0.21053737    0.21491999    0.12787076    0.00000003    5.65469970   -0.38857147    0.32414601    0.46975985
    0.26595696    0.22569961    0.12444402    0.00000001    5.46629359    0.49085486    0.34040401    0.01704024
   -0.27070801    0.22520056   -0.11879950    0.00000002    5.46788708   -0.49962347    0.33965134   -0.00055013
   -0.23941960    0.23285991   -0.12794824    0.00000002    5.45533384   -0.44187703    0.35120330   -0.04932644
   -0.23165323    0.23587915   -0.12890067    0.00000002    5.44981211   -0.42754329    0.35575697   -0.05861917
   -0.22189190    0.24019816   -0.13058324    0.00000002    5.44083156   -0.40952759    0.36227098   -0.07133531
